iter	Passed	Remaining
0	129	129224
1	131	65379
2	132	44082
3	133	33351
4	135	26909
5	136	22678
6	138	19603
7	139	17302
8	140	15520
9	142	14079
10	143	12902
11	145	11996
12	147	11165
13	148	10452
14	149	9838
15	151	9287
16	152	8805
17	153	8374
18	154	7992
19	155	7642
20	157	7326
21	158	7065
22	160	6820
23	161	6580
24	163	6357
25	164	6148
26	165	5955
27	166	5777
28	167	5614
29	168	5462
30	170	5319
31	171	5185
32	173	5097
33	175	4979
34	176	4867
35	177	4760
36	179	4670
37	180	4576
38	181	4484
39	183	4395
40	184	4312
41	185	4234
42	187	4172
43	188	4102
44	190	4033
45	191	3966
46	192	3901
47	193	3839
48	194	3781
49	196	3726
50	197	3672
51	198	3620
52	199	3571
53	201	3532
54	203	3488
55	204	3443
56	205	3398
57	206	3360
58	208	3319
59	209	3279
60	210	3240
61	211	3202
62	212	3165
63	214	3130
64	215	3096
65	217	3072
66	218	3041
67	219	3009
68	220	2980
69	222	2953
70	223	2925
71	224	2897
72	226	2870
73	227	2843
74	228	2816
75	229	2791
76	230	2766
77	232	2744
78	233	2721
79	234	2697
80	235	2673
81	236	2650
82	237	2622
83	238	2599
84	239	2578
85	240	2556
86	241	2536
87	242	2515
88	243	2496
89	245	2483
90	247	2467
91	248	2449
92	249	2431
93	250	2412
94	251	2394
95	252	2377
96	253	2360
97	254	2343
98	256	2332
99	257	2317
100	258	2303
101	259	2288
102	261	2281
103	263	2268
104	264	2254
105	265	2240
106	267	2228
107	268	2214
108	269	2200
109	270	2187
110	271	2173
111	272	2160
112	273	2147
113	274	2134
114	276	2125
115	277	2114
116	278	2101
117	279	2089
118	280	2079
119	282	2068
120	283	2057
121	284	2045
122	285	2034
123	286	2024
124	287	2013
125	288	2003
126	289	1991
127	292	1990
128	293	1980
129	294	1971
130	295	1961
131	296	1951
132	297	1942
133	298	1932
134	300	1922
135	301	1913
136	302	1903
137	303	1896
138	304	1888
139	306	1883
140	307	1875
141	308	1864
142	309	1856
143	310	1847
144	311	1839
145	312	1830
146	314	1823
147	315	1815
148	316	1807
149	317	1799
150	318	1791
151	319	1783
152	321	1778
153	322	1771
154	323	1764
155	325	1758
156	326	1752
157	327	1746
158	328	1739
159	330	1732
160	330	1723
161	331	1717
162	333	1710
163	334	1703
164	335	1698
165	337	1693
166	338	1688
167	339	1682
168	340	1676
169	342	1670
170	343	1664
171	344	1658
172	345	1652
173	346	1646
174	348	1640
175	349	1634
176	351	1632
177	352	1627
178	353	1621
179	354	1616
180	356	1611
181	357	1605
182	358	1600
183	359	1595
184	361	1590
185	362	1585
186	363	1580
187	364	1576
188	366	1572
189	367	1567
190	369	1562
191	370	1558
192	371	1553
193	372	1548
194	374	1544
195	375	1539
196	376	1535
197	377	1530
198	379	1527
199	380	1523
200	382	1519
201	383	1514
202	384	1510
203	385	1505
204	387	1501
205	388	1496
206	389	1491
207	390	1487
208	391	1483
209	393	1479
210	395	1477
211	396	1474
212	397	1470
213	399	1465
214	400	1461
215	401	1457
216	402	1452
217	403	1448
218	404	1444
219	406	1439
220	407	1436
221	408	1432
222	410	1429
223	411	1426
224	412	1421
225	414	1418
226	415	1413
227	416	1409
228	417	1405
229	418	1400
230	419	1397
231	420	1393
232	422	1389
233	423	1385
234	424	1383
235	426	1379
236	427	1375
237	428	1371
238	429	1367
239	430	1364
240	432	1360
241	433	1357
242	434	1353
243	435	1350
244	437	1347
245	438	1343
246	439	1340
247	441	1338
248	442	1335
249	444	1332
250	445	1329
251	446	1325
252	447	1322
253	449	1318
254	450	1315
255	451	1312
256	453	1309
257	454	1307
258	456	1304
259	457	1301
260	458	1298
261	460	1296
262	461	1293
263	462	1289
264	464	1287
265	465	1284
266	467	1282
267	470	1283
268	471	1281
269	473	1279
270	474	1277
271	476	1274
272	477	1271
273	478	1267
274	479	1264
275	481	1262
276	482	1259
277	484	1257
278	485	1255
279	487	1252
280	488	1250
281	489	1247
282	491	1244
283	492	1241
284	493	1238
285	495	1235
286	496	1232
287	497	1229
288	498	1226
289	500	1224
290	501	1222
291	502	1219
292	503	1216
293	505	1213
294	506	1210
295	507	1207
296	508	1204
297	510	1201
298	511	1199
299	512	1196
300	514	1194
301	515	1192
302	516	1189
303	518	1186
304	519	1183
305	520	1180
306	521	1178
307	523	1175
308	524	1173
309	525	1170
310	527	1167
311	528	1164
312	529	1162
313	531	1160
314	532	1157
315	533	1155
316	535	1153
317	536	1151
318	538	1148
319	539	1146
320	540	1143
321	541	1140
322	543	1138
323	544	1136
324	545	1133
325	547	1131
326	548	1129
327	550	1127
328	551	1124
329	552	1121
330	553	1118
331	554	1116
332	555	1113
333	557	1111
334	558	1109
335	560	1107
336	561	1105
337	563	1103
338	564	1100
339	565	1098
340	567	1095
341	568	1093
342	569	1090
343	570	1088
344	572	1086
345	574	1085
346	575	1082
347	576	1080
348	577	1077
349	579	1075
350	580	1072
351	581	1070
352	582	1067
353	583	1065
354	585	1063
355	586	1061
356	588	1059
357	589	1057
358	590	1055
359	592	1052
360	593	1050
361	594	1048
362	595	1045
363	597	1043
364	598	1041
365	599	1038
366	600	1036
367	602	1033
368	603	1032
369	604	1029
370	606	1027
371	607	1025
372	608	1023
373	610	1021
374	611	1018
375	612	1016
376	613	1013
377	614	1011
378	615	1009
379	617	1006
380	619	1006
381	620	1003
382	621	1001
383	622	998
384	623	996
385	624	993
386	625	991
387	627	989
388	628	986
389	629	984
390	630	981
391	631	979
392	633	978
393	634	976
394	636	974
395	637	971
396	638	970
397	639	968
398	641	965
399	642	963
400	643	960
401	644	958
402	645	956
403	646	953
404	648	952
405	649	950
406	651	948
407	652	946
408	653	943
409	654	941
410	655	939
411	656	937
412	657	934
413	658	932
414	659	930
415	660	927
416	661	925
417	663	923
418	664	921
419	665	919
420	666	917
421	668	914
422	669	912
423	670	910
424	671	908
425	672	905
426	673	903
427	674	901
428	675	899
429	676	896
430	678	895
431	679	893
432	680	891
433	682	889
434	683	887
435	684	885
436	685	883
437	687	881
438	688	879
439	689	877
440	690	875
441	692	874
442	694	873
443	695	871
444	697	869
445	698	867
446	699	865
447	701	863
448	702	861
449	703	860
450	705	858
451	706	856
452	708	855
453	709	853
454	711	851
455	712	850
456	714	848
457	715	846
458	716	844
459	717	842
460	719	840
461	720	838
462	721	837
463	723	835
464	724	833
465	726	831
466	727	829
467	728	827
468	729	825
469	730	824
470	731	822
471	733	820
472	734	818
473	735	816
474	737	815
475	738	813
476	740	811
477	741	809
478	742	807
479	743	805
480	745	803
481	746	801
482	747	799
483	748	798
484	749	796
485	751	794
486	752	792
487	753	791
488	755	789
489	756	787
490	757	785
491	758	783
492	760	781
493	761	779
494	762	777
495	763	775
496	764	774
497	766	772
498	767	770
499	768	768
500	769	766
501	771	764
502	772	763
503	773	761
504	774	759
505	775	757
506	777	755
507	778	753
508	779	752
509	780	750
510	782	748
511	783	746
512	784	745
513	786	743
514	787	742
515	789	740
516	790	738
517	792	737
518	793	735
519	794	733
520	795	731
521	796	729
